GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1500000US040130405132,040130405132,"Block Group 2, Census Tract 405.13, Maricopa County, Arizona",1666,772,0,0,1,0,1,0,0,0,3,1,2,4,3,5,22,18,35,22,57,133,162,189,114,894,0,0,0,0,1,0,0,2,0,0,1,1,4,14,29,26,52,39,84,159,210,165,107
1500000US040130405141,040130405141,"Block Group 1, Census Tract 405.14, Maricopa County, Arizona",1922,855,0,0,0,1,0,1,0,0,1,3,8,1,12,15,40,23,63,38,74,155,143,156,121,1067,0,1,0,0,0,0,0,0,2,2,2,5,13,26,50,35,99,48,97,178,203,187,119
1500000US040130405142,040130405142,"Block Group 2, Census Tract 405.14, Maricopa County, Arizona",1182,525,0,0,0,1,0,0,0,0,1,0,3,2,6,2,18,11,37,23,60,100,105,82,74,657,0,0,0,0,0,0,1,2,1,2,0,3,3,12,34,29,52,37,78,116,95,109,83
1500000US040130405151,040130405151,"Block Group 1, Census Tract 405.15, Maricopa County, Arizona",2511,1270,54,53,61,34,25,10,15,32,79,61,52,52,53,75,88,30,75,35,82,113,98,59,34,1241,68,55,58,53,32,8,6,27,43,37,44,45,88,75,90,46,71,48,78,92,83,55,39
1500000US040130405152,040130405152,"Block Group 2, Census Tract 405.15, Maricopa County, Arizona",2281,1168,47,74,58,48,24,11,11,25,47,40,53,73,90,109,105,40,61,57,61,65,39,13,17,1113,59,48,66,44,25,8,8,24,53,41,45,64,100,101,101,49,78,30,42,52,32,25,18
1500000US040130405161,040130405161,"Block Group 1, Census Tract 405.16, Maricopa County, Arizona",782,400,21,36,38,14,15,2,3,4,12,29,28,30,21,25,34,14,21,16,18,13,2,2,2,382,24,25,33,17,6,2,3,6,18,28,34,15,34,30,28,14,30,10,11,8,1,2,3
1500000US040130405162,040130405162,"Block Group 2, Census Tract 405.16, Maricopa County, Arizona",2074,999,26,30,11,11,6,4,3,15,41,25,20,29,21,36,102,89,134,97,102,111,56,19,11,1075,38,24,22,9,2,4,2,14,34,34,16,27,28,79,152,84,148,86,105,99,38,19,11
1500000US040130405171,040130405171,"Block Group 1, Census Tract 405.17, Maricopa County, Arizona",4058,1969,162,164,141,80,45,16,17,39,90,115,170,146,149,142,118,61,95,32,52,68,33,28,6,2089,144,165,181,91,47,13,21,67,126,135,142,108,141,163,155,64,81,31,57,55,44,17,41
1500000US040130405172,040130405172,"Block Group 2, Census Tract 405.17, Maricopa County, Arizona",3563,1805,132,142,148,88,59,26,34,46,122,137,103,129,114,108,92,42,68,46,50,69,25,19,6,1758,142,132,146,90,43,15,11,57,120,109,126,105,109,123,107,40,74,42,58,55,31,12,11
1500000US040130405181,040130405181,"Block Group 1, Census Tract 405.18, Maricopa County, Arizona",1767,849,51,53,51,30,29,4,5,11,41,30,31,47,61,62,80,25,45,27,36,54,46,21,9,918,60,54,61,45,28,7,8,26,42,28,42,48,67,70,67,31,41,17,44,48,45,21,18
